[2026-07-10 12:36:06] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:36:09] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:36:10] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:36:18] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-10 12:36:18] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-10 12:37:12] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:37:12] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:37:12] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-10 12:37:12] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-10 12:37:17] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:37:17] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:38:13] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:38:13] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:38:34] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-10 12:38:34] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-10 12:38:53] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:38:54] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:39:01] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
