[2026-07-10 12:32:02] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 12:32:03] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 12:32:03] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 12:32:17] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 21 IOStat by Function/Filetype summary records.
[2026-07-10 12:32:17] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 21 rows into awr_iostat_func_filetype
[2026-07-10 12:32:37] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:32:37] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:33:14] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 12:33:14] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 12:33:15] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 12:33:15] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 12:33:23] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 12:33:23] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
[2026-07-10 12:34:08] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 21 IOStat by Function/Filetype summary records.
[2026-07-10 12:34:08] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 21 rows into awr_iostat_func_filetype
[2026-07-10 12:34:25] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 12:34:25] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
[2026-07-10 12:34:41] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 12:34:41] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
